id,fdgrp_id,data_src_id,long_desc,shrt_desc,comm_name,manufacturer,ref_desc,refuse,sci_name
13827,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW",,,Bone,17,
13828,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",,,Bone,21,
13829,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",,,Bone,17,
13830,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW",,,Bone,16,
13831,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",,,Bone,22,
13832,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",,,Bone,17,
13833,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW",URMIS #1986,,Bone,16,
13834,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",URMIS #1986,,Bone,19,
99054,1600,2,"Soy cheese, mozzarella",,,,,,
13835,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",URMIS #1986,,Bone,20,
13838,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",,,Bone,16,
13839,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",,,Bone,21,
13840,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",,,Bone,16,
13841,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",,,Bone,16,
13842,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",,,Bone,21,
13843,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",,,Bone,15,
13844,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",,,Bone,17,
13845,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD",,,Bone,21,
13846,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD",,,Bone,16,
13847,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",URMIS #2037,,Bone,14,
13848,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",URMIS #2037,,Bone,18,
13849,1300,1,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",URMIS #2037,,Bone,19,
13850,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",Prime Rib,,Bone and connective tissue,5,
13851,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",Prime Rib,,Bone and connective tissue,7,
13852,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS",Prime Rib,,Bone,19,
13853,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW",Prime Rib,,Bone and connective tissue,5,
13854,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",Prime Rib,,Bone and connective tissue,7,
13855,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",Prime Rib,,Bone,20,
13856,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW",Prime Rib,,Bone and connective tissue,5,
13857,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",Prime Rib,,Bone and connective tissue,7,
14099,1400,1,"Alcoholic Beverage, wine, table, red, Pinot Noir","ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",,,,0,
13858,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",Prime Rib,,Bone,18,
13859,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW","URMIS #2054, Prime Rib",,Bone,18,
13860,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD","URMIS #2054, Prime Rib",,Bone,21,
13861,1300,1,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted","BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD","URMIS #2054, Prime Rib",,Bone,21,
13862,1300,1,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled","BEEF,SHLDR TOP BLDE STK,BNLS,LN & FAT,0"" FAT,SEL,CKD,G",URMIS #1144,,Connective tissue 17%,17,
13863,1300,1,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw","BEEF,SHLDR TOP BLADE STEAK,BNLS,LN & FAT,0"" FAT,ALL GRDS,RAW",URMIS #1144,,Connective tissue 14%,15,
13864,1300,1,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW",URMIS #2316,,Bone,6,
13865,1300,1,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",URMIS #2316,,Bone,8,
13866,1300,1,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW",URMIS #1501,,Bone,6,
13867,1300,1,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD",URMIS #1501,,Bone,8,
13868,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",,,Bone and connective tissue,2,
13869,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRSD",,,Bone and connective tissue,5,
13870,1300,1,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",,,Bone and connective tissue,2,
14062,1400,1,"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink","BEVERAGES,ABBOTT,ENSURE,NUTRITIONAL SHAKE,RTD",,Abbott's Ross Products Division,,0,
13871,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",URMIS #2279,,Bone and connective tissue,2,
13872,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",URMIS #2279,,Bone and connective tissue,5,
13873,1300,1,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",URMIS #2279,,Bone and connective tissue,2,
13874,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",URMIS #1464,,Bone and connective tissue,3,
13875,1300,1,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised","BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",URMIS #1464,,Bone and connective tissue,3,
13876,1300,1,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RND,BTTM RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",URMIS #1464,,Bone and connective tissue,2,
13877,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,RAW",,,Bone and connective tissue,3,
13878,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",,,Bone and connective tissue,1,
13879,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,RAW",URMIS #2295,,Bone and connective tissue,1,
13880,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",URMIS #2295,,Bone and connective tissue,1,
13881,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,RAW",URMIS #1480,,Bone and connective tissue,3,
13882,1300,1,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",URMIS #1480,,"Bone and connective tissue 1%, sep fat 8%",9,
13883,1300,1,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",,,Connective tissue,4,
13884,1300,1,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",,,Connective tissue,4,
13885,1300,1,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",URMIS # 2340,,Connective tissue,4,
13886,1300,1,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,CHOIC,CKD,RSTD",URMIS # 2340,,Connective tissue,4,
13887,1300,1,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,RND,TIP RND,LN&FAT,1/8""FAT,SEL,RAW",URMIS # 1525,,Connective tissue,3,
13888,1300,1,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","BEEF,RND,TIP RND,RST,LN & FAT,1/8"" FAT,SEL,CKD,RSTD",URMIS # 1525,,Connective tissue,4,
13889,1300,1,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw","BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",URMIS #1144,,Connective tissue 15%,15,
13890,1300,1,"Beef, round, top round, separable lean only, trimmed to 1/8"" fat, choice, cooked, pan-fried","BEEF,RND,TOP RND,LN,1/8"" FAT,CHOIC,CKD,PAN-FRIED","URMIS #2368, Round Steak, London Broil, Minute Steak",,Connective tissue,1,
14100,1400,1,"Alcoholic Beverage, wine, table, red, Syrah","ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",,,,0,
13891,1300,1,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW","London Broil, Round Steak, Minute Steak",,,0,
13892,1300,1,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","BEEF,RND,TOP RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD","London Broil, Round Steak, Minute Steak",,Connective tissue,3,
13893,1300,1,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled","BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD","London Broil, Round Steak, Minute Steak",,Bone and connective tissue,1,
13894,1300,1,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW","URMIS #2368, Round Steak, London Broil, Minute Steak",,,0,
13895,1300,1,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","BEEF,RND,TOP RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD","URMIS #2368, Round Steak, London Broil, Minute Steak",,Connective tissue,2,
